N,Merge Sort Classic,Merge Sort Optimizado 16,Merge Sort Optimizado 24,Merge Sort Optimizado 32,Merge Sort Optimizado 40,Merge Sort Optimizado 48,Merge Sort Optimizado 56,Merge Sort Optimizado 64
2,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
1284,0.000057,0.000036,0.000038,0.000037,0.000043,0.000044,0.000047,0.000043
2566,0.000160,0.000127,0.000122,0.000114,0.000122,0.000123,0.000124,0.000120
3848,0.000285,0.000212,0.000217,0.000219,0.000198,0.000183,0.000202,0.000193
5130,0.000339,0.000290,0.000266,0.000276,0.000282,0.000274,0.000269,0.000288
6411,0.000446,0.000359,0.000366,0.000352,0.000360,0.000366,0.000375,0.000365
7694,0.000565,0.000453,0.000449,0.000431,0.000434,0.000429,0.000436,0.000461
8976,0.000671,0.000550,0.000533,0.000523,0.000518,0.000505,0.000505,0.000530
10258,0.000761,0.000643,0.000637,0.000639,0.000615,0.000633,0.000631,0.000622
11540,0.000884,0.000761,0.000734,0.000740,0.000728,0.000746,0.000733,0.000760
12821,0.000990,0.000846,0.000852,0.000826,0.000816,0.000827,0.000832,0.000839
14104,0.001099,0.000918,0.000925,0.000912,0.000884,0.000883,0.000930,0.000944
15386,0.001212,0.000993,0.001005,0.000986,0.000989,0.001011,0.000994,0.001032
16668,0.001338,0.001117,0.001092,0.001088,0.001117,0.001113,0.001106,0.001072
17950,0.001415,0.001234,0.001207,0.001206,0.001174,0.001208,0.001178,0.001194
19232,0.001552,0.001327,0.001286,0.001294,0.001286,0.001315,0.001299,0.001302
20514,0.001672,0.001444,0.001404,0.001404,0.001410,0.001405,0.001391,0.001403
21796,0.001796,0.001517,0.001497,0.001466,0.001478,0.001504,0.001517,0.001530
23078,0.001926,0.001633,0.001580,0.001604,0.001591,0.001650,0.001646,0.001628
24360,0.002028,0.001696,0.001706,0.001683,0.001726,0.001722,0.001713,0.001725
25641,0.002140,0.001813,0.001818,0.001829,0.001799,0.001830,0.001842,0.001871
26924,0.002241,0.001879,0.001903,0.001903,0.001885,0.001864,0.001931,0.001926
28206,0.002344,0.002019,0.002002,0.001968,0.001966,0.001979,0.002054,0.002066
29488,0.002492,0.002138,0.002121,0.002076,0.002071,0.002094,0.002052,0.002184
30770,0.002658,0.002213,0.002212,0.002188,0.002201,0.002165,0.002172,0.002280
32052,0.002775,0.002372,0.002400,0.002311,0.002323,0.002288,0.002276,0.002527
33334,0.002937,0.002504,0.002472,0.002415,0.002410,0.002402,0.002367,0.002400
34616,0.003022,0.002577,0.002541,0.002525,0.002490,0.002505,0.002494,0.002573
35898,0.003083,0.002677,0.002584,0.002629,0.002594,0.002636,0.002632,0.002617
37180,0.003272,0.002848,0.002706,0.002680,0.002715,0.002751,0.002809,0.002785
38462,0.003380,0.002904,0.002791,0.002805,0.002843,0.002846,0.002823,0.002854
39744,0.003495,0.003042,0.003055,0.002986,0.002985,0.002961,0.002942,0.002954
41026,0.003666,0.003142,0.003040,0.003047,0.003095,0.003064,0.003062,0.003072
42308,0.003787,0.003225,0.003147,0.003141,0.003164,0.003265,0.003233,0.003185
43590,0.003880,0.003354,0.003259,0.003259,0.003248,0.003279,0.003309,0.003334
44872,0.003943,0.003418,0.003337,0.003336,0.003327,0.003380,0.003398,0.003394
46154,0.004132,0.003535,0.003492,0.003494,0.003449,0.003528,0.003515,0.003606
47436,0.004211,0.003633,0.003562,0.003553,0.003554,0.003640,0.003663,0.003685
48718,0.004342,0.003674,0.003628,0.003650,0.003654,0.003736,0.003750,0.003799
50000,0.004422,0.003845,0.003781,0.003806,0.003759,0.003808,0.003926,0.003848
